Name	eaiQuoteID	type	uom	ccy	businessCalendar	lotSize	tenor	Commodity	limSymbol	limMultiplier	defaultPrecision	clearPortPrecision	expiryRule	exchange	volatilityID	indexLevel	forwardMarket	pricingRule	formula	rollbefore	promptness	bblPerMT
IPE Brent	1	FuturesMarket	bbl                 	USD                 	IPE	Some(1000.0)        	Month               	Brent	Some(FB)	Some(1.0)           	Some(3)             	Some(2)             	EAIExpiryRule(1)	ICE	Some(20)            	NULL	NULL	NULL	NULL	NULL	NULL	Some(7.57)
NYMEX WTI	2	FuturesMarket	bbl                 	USD                 	NYM	Some(1000.0)        	Month               	WTI	Some(CL)	Some(1.0)           	Some(3)             	Some(2)             	EAIExpiryRule(2)	NYMEX	Some(25)            	NULL	NULL	NULL	NULL	NULL	NULL	Some(7.6)
1% Fuel FOB NWE Cargoes	3	PublishedIndex	MT                  	USD                 	PLE	Some(1000.0)        	Day                 	FuelOil	Some(PUAAM00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.35)
1% Fuel FOB NWE Cargoes vs 3.5% Fuel FOB Rotterdam Barges	4	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(3)) - Quote(1.0* MKT(5)) 	NULL	NULL	Some(6.35)
3.5% Fuel FOB Rotterdam Barges	5	PublishedIndex	MT                  	USD                 	PLE	Some(1000.0)        	Day                 	FuelOil	Some(PUABC00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.35)
Platts Dubai 1st month	6	PublishedIndex	bbl                 	USD                 	PLD	Some(1000.0)        	Day                 	Crude	Some(PCAAT00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.25)
NYMEX WTI 1st month	7	FuturesFrontPeriodIndex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	Close	NYMEX WTI	NULL	NULL	0	1	NULL
HSFO 180 CST Singapore (6.5)	8	PublishedIndex	MT                  	USD                 	PLD	Some(1000.0)        	Day                 	FuelOil	Some(PUADV00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.5)
HSFO 180 CST Singapore (6.5) vs 3.5% Fuel FOB Rotterdam Barges	9	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(8)) - Quote(1.0* MKT(5)) 	NULL	NULL	Some(6.5)
No.6 1% NYH Cargoes	10	PublishedIndex	bbl                 	USD                 	PLH	Some(1000.0)        	Day                 	FuelOil	Some(PUAAO00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.35)
No.6 3% USGC Waterborne	11	PublishedIndex	bbl                 	USD                 	PLH	Some(1000.0)        	Day                 	FuelOil	Some(PUAFZ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(6.35)
No.6 1% NYH Cargoes vs No.6 3% USGC Waterborne	12	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(10)) - Quote(1.0* MKT(11)) 	NULL	NULL	Some(6.5)
NYMEX WTI vs No.6 1% NYH Cargoes	13	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(7)) - Quote(1.0* MKT(10)) 	NULL	NULL	Some(7.6)
IPE Gas Oil	14	FuturesMarket	MT                  	USD                 	IPE	Some(100.0)         	Month               	GasOil	Some(FP)	Some(1.0)           	Some(3)             	Some(2)             	EAIExpiryRule(14)	ICE	Some(21)            	NULL	NULL	NULL	NULL	NULL	NULL	Some(7.45)
NYMEX Heat	15	FuturesMarket	gal                 	USC                 	NYM	Some(42000.0)       	Month               	HeatingOil	Some(HO)	Some(1.0)           	Some(4)             	Some(4)             	EAIExpiryRule(15)	NYMEX	Some(22)            	NULL	NULL	NULL	NULL	NULL	NULL	Some(7.45)
NYMEX Unleaded	16	FuturesMarket	gal                 	USD                 	NYM	Some(1000.0)        	Month               	Gasoline	Some(HU)	Some(0.01)          	Some(4)             	Some(4)             	EAIExpiryRule(16)	NYMEX	Some(5)             	NULL	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Prem Unl FOB Rotterdam Barges	17	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Gasoline	Some(PGABM00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.33)
Jet CIF NWE Cargoes	18	PublishedIndex	MT                  	USD                 	PLE	Some(1000.0)        	Day                 	JetKero	Some(PJAAU00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
Jet CIF NWE Cargoes vs IPE Brent	19	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(18)) - Quote(1.0* MKT(28)) 	NULL	NULL	Some(7.88)
HSFO 180 CST Singapore (6.5) vs Platts Dubai 1st month	20	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(8)) - Quote(1.0* MKT(6)) 	NULL	NULL	Some(6.5)
Unl 87 Rfg NYH Barges	21	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGAKB00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
