Name	eaiQuoteID	type	uom	ccy	businessCalendar	lotSize	tenor	Commodity	limSymbol	limMultiplier	defaultPrecision	clearPortPrecision	expiryRule	exchange	volatilityID	indexLevel	forwardMarket	pricingRule	formula	rollbefore	promptness	bblPerMT
No.2 USGC Pipeline vs NYMEX Heat	22	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(35)) - Quote(1.0* MKT(29)) 	NULL	NULL	Some(7.45)
Prem Unl FOB Rotterdam Barges vs Jet CIF NWE Cargoes	23	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(17)) - Quote(1.0* MKT(18)) 	NULL	NULL	Some(8.35)
Naphtha Singapore	24	PublishedIndex	bbl                 	USD                 	PLD	Some(1000.0)        	Day                 	Naphtha	Some(PAAAP00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(9.0)
Prem Unl FOB NWE Cargoes vs IPE Brent	25	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(30)) - Quote(1.0* MKT(28)) 	NULL	NULL	Some(8.35)
Prem Unl FOB Rotterdam Barges vs Naphtha CIF NWE Cargoes	26	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(17)) - Quote(1.0* MKT(37)) 	NULL	NULL	Some(8.35)
3.5% Fuel FOB Rotterdam Barges vs IPE Brent	27	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(5)) - Quote(1.0* MKT(28)) 	NULL	NULL	Some(6.35)
IPE Brent 1st month	28	FuturesFrontPeriodIndex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	Close	IPE Brent	NULL	NULL	1	1	NULL
NYMEX Heat 1st month	29	FuturesFrontPeriodIndex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	Close	NYMEX Heat	NULL	NULL	0	1	NULL
Prem Unl FOB NWE Cargoes	30	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	Gasoline	Some(AAIJH00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.33)
NYMEX Unleaded 1st month	31	FuturesFrontPeriodIndex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	Close	NYMEX Unleaded	NULL	NULL	0	1	NULL
Unl 87 Rfg NYH Barges vs NYMEX Unleaded	32	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(21)) - Quote(1.0* MKT(31)) 	NULL	NULL	Some(8.45)
Unl 87 NYH Cargoes	33	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGADC00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Unl 87 USGC Pipeline	34	PublishedIndex	gal                 	USD                 	PLH	Some(42000.0)       	Day                 	Gasoline	Some(PGACT00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.33)
No.2 USGC Pipeline	35	PublishedIndex	gal                 	USD                 	PLH	Some(42000.0)       	Day                 	GasOil	Some(POAED00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Unl 87 USGC Pipeline vs No.2 USGC Pipeline	36	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(34)) - Quote(1.0* MKT(35)) 	NULL	NULL	Some(7.95)
Naphtha CIF NWE Cargoes	37	PublishedIndex	MT                  	USD                 	PLE	Some(1000.0)        	Day                 	Naphtha	Some(PAAAL00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.9)
NYMEX WTI vs Dated Brent	39	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(7)) - Quote(1.0* MKT(40)) 	NULL	NULL	Some(7.6)
Dated Brent	40	PublishedIndex	bbl                 	USD                 	PLE	Some(1000.0)        	Day                 	Crude	Some(PCAAS00)	Some(1.0)           	Some(3)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.57)
Oman Crude OSP vs Platts Dubai 1st month	41	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(42)) - Quote(1.0* MKT(6)) 	NULL	NULL	Some(7.51)
Oman Crude OSP	42	PublishedIndex	bbl                 	USD                 	PLD	None                	Day                 	Crude	Some(AAINJ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Index	NULL	NULL	NULL	NULL	NULL	Some(7.51)
Naphtha CIF NWE Cargoes vs IPE Brent	43	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(37)) - Quote(1.0* MKT(28)) 	NULL	NULL	Some(8.9)
Propane CIF ARA Large Cargoes (Argus)	44	PublishedIndex	MT                  	USD                 	ARE	None                	Day                 	Propane	Some(GPPRNEDC)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(12.4047619)
Jet Kero Singapore vs Platts Dubai 1st month	45	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(46)) - Quote(1.0* MKT(6)) 	NULL	NULL	Some(7.88)
Jet Kero Singapore	46	PublishedIndex	bbl                 	USD                 	PLD	Some(1000.0)        	Day                 	JetKero	Some(PJABF00)	Some(1.0)           	Some(3)             	Some(3)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
Jet CIF NWE Cargoes vs Jet FOB Rotterdam Barges	47	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(18)) - Quote(1.0* MKT(48)) 	NULL	NULL	Some(7.88)
Jet FOB Rotterdam Barges	48	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	JetKero	Some(PJABA00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
Gas Oil EN590 CIF NWE Cargoes vs IPE Gas Oil (Average)	49	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(51)) - Quote(1.0* MKT(50)) 	NULL	NULL	Some(7.46)
IPE Gas Oil 1st month (Average)	50	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(PXAAJ00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Gas Oil EN590 CIF NWE Cargoes	51	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(PPAQH00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.46)
Gas Oil 0.5 Singapore	52	PublishedIndex	bbl                 	USD                 	PLD	Some(1000.0)        	Day                 	GasOil	Some(POABC00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Jet Kero Singapore vs Gas Oil 0.5 Singapore	53	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(46)) - Quote(1.0* MKT(52)) 	NULL	NULL	Some(7.88)
Jet CIF NWE Cargoes vs IPE Gas Oil (Average)	54	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(18)) - Quote(1.0* MKT(50)) 	NULL	NULL	Some(7.88)
IPE Gas Oil Average (Platts) vs Gas Oil ULSD 50ppm FOB Rotterdam Barges (Platts)	55	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(50)) - Quote(1.0* MKT(59)) 	NULL	NULL	Some(7.45)
Jet LA Pipeline vs NYMEX Heat	56	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(57)) - Quote(1.0* MKT(29)) 	NULL	NULL	Some(7.88)
Jet LA Pipeline	57	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	JetKero	Some(PJAAP00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
IPE Gas Oil 1st month (Settlement)	58	FuturesFrontPeriodIndex	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	Close	IPE Gas Oil	NULL	NULL	1	1	NULL
Gas Oil ULSD 50ppm FOB Rotterdam Barges (Platts)	59	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(AAGMK00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
No.6 1% NYH Cargoes vs NYMEX WTI	60	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(10)) - Quote(1.0* MKT(7)) 	NULL	NULL	Some(6.5)
Unl 87 NY/Boston Barges	61	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PGADB00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Unl 87 NY/Boston Barges vs NYMEX Unleaded	62	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(61)) - Quote(1.0* MKT(31)) 	NULL	NULL	Some(8.45)
Argus Far East Index Propane	63	PublishedIndex	MT                  	USD                 	ARH	Some(1000.0)        	Day                 	Propane	Some(GPFAREIND)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(12.4047619)
Saudi CP Propane	64	PublishedIndex	MT                  	USD                 	PLD	None                	Day                 	Propane	Some(PTAAM10)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Index	NULL	NULL	NULL	NULL	NULL	Some(12.4047619)
Propane TET Pipeline (OPIS)	65	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Propane	Some(MBEL.TET.PROPANE)	Some(0.01)          	Some(5)             	Some(4)             	NULL	NULL	None                	MidPoint	NULL	NULL	NULL	NULL	NULL	Some(12.4047619)
Butane Non-TET Pipeline (OPIS)	66	PublishedIndex	gal                 	USD                 	OPI	None                	Day                 	Butane	Some(MBEL.NTET.NBUTANE)	Some(0.01)          	Some(5)             	Some(4)             	NULL	NULL	None                	MidPoint	NULL	NULL	NULL	NULL	NULL	Some(10.78571429)
Jet CIF NWE Cargoes vs Gas Oil EN590 CIF NWE Cargoes	67	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(18)) - Quote(1.0* MKT(51)) 	NULL	NULL	Some(7.88)
No.6 0.3% H/P NYH Cargoes (High)	68	PublishedIndex	bbl                 	USD                 	PLH	None                	Day                 	FuelOil	Some(PUAAE00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	High	NULL	NULL	NULL	NULL	NULL	Some(6.7)
Argus Far East Index Butane	69	PublishedIndex	MT                  	USD                 	ARH	None                	Day                 	Butane	Some(GPFABUIND)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(10.78571429)
Saudi CP Butane	70	PublishedIndex	MT                  	USD                 	ARD	None                	Day                 	Butane	Some(PTAAF10)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Index	NULL	NULL	NULL	NULL	NULL	Some(10.78571429)
Physical Far East Butane	71	PublishedIndex	MT                  	USD                 	ARD	None                	Day                 	Butane	None	None                	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(10.78571429)
Physical Far East Propane	72	PublishedIndex	MT                  	USD                 	ARD	None                	Day                 	Propane	None	None                	Some(3)             	Some(2)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(12.4047619)
Unl 87 USGC Pipeline vs NYMEX WTI	73	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(34)) - Quote(1.0* MKT(7)) 	NULL	NULL	Some(8.33)
Unl 87 Rfg A2 Colonial Pipeline (monthly)	74	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Unl 87 Rfg A2 Colonial Pipeline vs NYMEX Unleaded	75	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(74)) - Quote(1.0* MKT(7)) 	NULL	NULL	Some(8.45)
Unl M1 Colonial Pipeline (monthly)	76	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	None	None                	Some(4)             	Some(4)             	NULL	NULL	None                	Close	NULL	NULL	NULL	NULL	NULL	Some(8.45)
Gas Oil 0.2 FOB Med Cargoes	77	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(POAAB00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Gas Oil 0.2 CIF Med Cargoes	78	PublishedIndex	MT                  	USD                 	PLE	None                	Day                 	GasOil	Some(POAAA00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.45)
Jet 54 USGC Waterborne	79	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	JetKero	Some(PJABM00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.878)
Jet 54 USGC Waterborne vs NYMEX Heat	80	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(79)) - Quote(1.0* MKT(29)) 	NULL	NULL	Some(7.88)
Gas Oil 0.2 FOB Med Cargoes vs IPE Gas Oil (Settlement)	81	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(77)) - Quote(1.0* MKT(58)) 	NULL	NULL	Some(7.45)
Gas Oil 0.2 CIF Med Cargoes vs IPE Gas Oil (Settlement)	82	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(78)) - Quote(1.0* MKT(58)) 	NULL	NULL	Some(7.45)
Dated Brent vs IPE Brent (DFL)	83	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(40)) - Quote(1.0* MKT(28)) 	NULL	NULL	Some(7.57)
Natural Gasoline Non-Dynegy Pipeline (Platts)	84	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(PMABY05)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(9.0)
Jet CIF NWE Cargoes vs IPE Gas Oil (Settlement)	85	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(18)) - Quote(1.0* MKT(58)) 	NULL	NULL	Some(7.88)
NYMEX WTI vs IPE Brent	86	FormulaIndex/FuturesSpreadMarket	bbl                 	USD                 	NULL	Some(1000.0)        	Month               	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(7)) - Quote(1.0* MKT(28)) 	NULL	NULL	Some(7.6)
IPE Brent vs Platts Dubai 1st month	87	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(28)) - Quote(1.0* MKT(6)) 	NULL	NULL	Some(7.57)
Mogas 95 Unl 10ppm NWE Barges (Argus)	88	PublishedIndex	MT                  	USD                 	ARE	Some(1000.0)        	Day                 	Gasoline	Some(GPTZNESB)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.33)
Mogas 95 Unl 10ppm NWE Barges (Argus) vs Jet CIF NWE Cargoes	89	FormulaIndex	MT                  	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(88)) - Quote(1.0* MKT(18)) 	NULL	NULL	Some(8.33)
No.2 USGC Pipeline vs NYMEX WTI	90	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(35)) - Quote(1.0* MKT(7)) 	NULL	NULL	Some(7.45)
NYMEX Heat vs NYMEX WTI	91	FormulaIndex	bbl                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(3)             	Some(2)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(29)) - Quote(1.0* MKT(7)) 	NULL	NULL	Some(7.45)
Ethane Mont Belvieu Enterprise Pipeline (OPIS)	92	PublishedIndex	gal                 	USD                 	OPI	Some(42000.0)       	Day                 	Ethane	Some(MBEL.PUR.ETHANE)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	MidPoint	NULL	NULL	NULL	NULL	NULL	Some(17.68)
Naphtha CFR Japan	93	PublishedIndex	MT                  	USD                 	PLD	Some(1000.0)        	Day                 	Naphtha	Some(PAAAD00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(9.0)
Unl 87 USGC Pipeline vs NYMEX Unleaded	94	FormulaIndex	gal                 	USD                 	NULL	NULL	NULL	NULL	NULL	NULL	Some(4)             	Some(4)             	NULL	NULL	NULL	NULL	NULL	NULL	Quote(1.0* MKT(34)) - Quote(1.0* MKT(31)) 	NULL	NULL	Some(8.33)
Unl 87 Buckeye Pipeline	95	PublishedIndex	gal                 	USD                 	PLH	None                	Day                 	Gasoline	Some(AAMHP00)	Some(0.01)          	Some(4)             	Some(4)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(8.33)
Urals CIF Med	96	PublishedIndex	bbl                 	USD                 	Platts European Crude	None                	Day                 	Crude	Some(PCACE00)	Some(1.0)           	Some(3)             	Some(2)             	NULL	NULL	None                	Mid	NULL	NULL	NULL	NULL	NULL	Some(7.284)
